outer_x,outer_y,inner_x,inner_y,diameter_x,diameter_y,mec_x,mec_y,diam_circle_x,diam_circle_y,observer_x,observer_y,truth_x,truth_y
,,,,,,39.71596374162684,5.347224149352186,33.464426983043396,7.1493826521727435,,,,
,,,,,,39.426672004373046,5.47906198952737,33.193755609211685,7.272734703848931,,,,
,,,,,,39.13512344008151,5.605830913183425,32.920972669800506,7.391344101583131,,,,
,,,,,,38.8414068572692,5.727492305278165,32.64616125713572,7.505174715803795,,,,
,,,,,,38.545611724852535,5.844009106572997,32.36940508143577,7.614191872603133,,,,
,,,,,,38.247828144894285,5.955345824921526,32.09078844531279,7.718362364299111,,,,
,,,,,,37.94814682515759,6.061468546080796,31.81039621809314,7.817654459550834,,,,
,,,,,,37.64665905147554,6.162344944041912,31.528313809965468,7.912037913024228,,,,
,,,,,,37.34345665994456,6.257944290876843,31.244627145963875,8.001483974605048,,,,
,,,,,,37.0386320089503,6.34823746609845,30.959422639794354,8.085965398156457,,,,
,,,,,,36.732277951034355,6.433196965530868,30.672787167512325,8.165456449818446,,,,
,,,,,,36.42448780461049,6.512796909687555,30.384808041059344,8.239932915846637,,,,
,,,,,,36.115355325538935,6.5870130516544165,30.09557298166704,8.309372109988004,,,,
,,,,,,35.80497467856745,6.655822784475657,29.805170093136393,8.37375288039134,,,,
,,,,,,35.493440408647814,6.719205148040089,29.513687835000443,8.433055616050314,,,,
,,,,,,35.18084741213656,6.777140835465772,29.221214995578666,8.48726225277716,,,,
,,,,,,34.867290907888574,6.829612198981078,28.927840664931207,8.53635627870522,,,,
,,,,,,34.55286640825254,6.876603255300381,28.633654207721154,8.580322739318618,,,,
,,,,,,34.237669689976954,6.9180996904927134,28.338745235993223,8.619148242007526,,,,
,,,,,,33.92179676503557,6.95408886434193,28.04320358187705,8.652820960147729,,,,
,,,,,,33.60534385138127,6.984559814197041,27.74711927022346,8.681330636703077,,,,
,,,,,,33.28840734363709,7.00950325831154,27.45058249118201,8.70466858734991,,,,
,,,,,,32.97108378373352,7.028911598670721,27.15368357272822,8.722827703122391,,,,
,,,,,,32.65346983150089,7.0427789233060984,26.856512953148766,8.73580245257794,,,,
,,,,,,32.335662235225854,7.05110100809625,26.55916115349313,8.743588883482179,,,,
,,,,,,32.0177578021809,7.053875318053528,26.26171875,8.746184624012827,,,,
,,,,,,31.69985336913595,7.05110100809625,25.96427634650687,8.743588883482179,,,,
,,,,,,31.382045772860913,7.0427789233060984,25.666924546851238,8.73580245257794,,,,
,,,,,,31.064431820628286,7.028911598670721,25.36975392727178,8.722827703122391,,,,
,,,,,,30.747108260724715,7.00950325831154,25.072855008817985,8.70466858734991,,,,
,,,,,,30.430171752980534,6.984559814197041,24.776318229776535,8.681330636703077,,,,
,,,,,,30.11371883932623,6.95408886434193,24.480233918122945,8.652820960147729,,,,
,,,,,,29.79784591438485,6.9180996904927134,24.184692264006777,8.61914824200753,,,,
,,,,,,29.482649196109264,6.876603255300381,23.88978329227885,8.580322739318618,,,,
,,,,,,29.16822469647323,6.829612198981078,23.595596835068797,8.53635627870522,,,,
,,,,,,28.854668192225247,6.777140835465772,23.302222504421334,8.48726225277716,,,,
,,,,,,28.54207519571399,6.719205148040089,23.00974966499956,8.433055616050314,,,,
,,,,,,28.23054092579436,6.655822784475657,22.718267406863607,8.373752880391343,,,,
,,,,,,27.92016027882287,6.5870130516544165,22.42786451833296,8.309372109988004,,,,
,,,,,,27.611027799751312,6.512796909687555,22.138629458940656,8.239932915846637,,,,
,,,,,,27.303237653327447,6.433196965530868,21.85065033248767,8.165456449818446,,,,
,,,,,,26.99688359541151,6.34823746609845,21.564014860205646,8.085965398156457,,,,
,,,,,,26.692058944417248,6.257944290876846,21.278810354036125,8.001483974605051,,,,
,,,,,,26.388856552886267,6.162344944041916,20.995123690034536,7.912037913024228,,,,
,,,,,,26.087368779204212,6.0614685460808,20.71304128190686,7.8176544595508375,,,,
,,,,,,25.787687459467524,5.955345824921526,20.432649054687214,7.718362364299111,,,,
,,,,,,25.48990387950927,5.844009106572997,20.154032418564228,7.614191872603133,,,,
,,,,,,25.194108747092606,5.727492305278165,19.87727624286428,7.505174715803795,,,,
,,,,,,24.90039216428029,5.605830913183425,19.602464830199487,7.391344101583128,,,,
,,,,,,24.608843599988756,5.47906198952737,19.32968189078831,7.272734703848931,,,,
,,,,,,24.319551862734972,5.347224149352186,19.059010516956604,7.149382652172745,,,,
,,,,,,24.03260507358453,5.210357551741129,18.79053315782687,7.021325520784448,,,,
,,,,,,23.74809063930914,5.068503887585692,18.524331594203524,6.8886023171267805,,,,
,,,,,,23.466095225761617,4.921706366886138,18.26048691366158,6.7512534699732925,,,,
,,,,,,23.186704731476695,4.77000970558934,17.999079485846664,6.60932081711336,,,,
,,,,,,22.91000426150544,4.613460111967839,17.74018893799359,6.462847592607972,,,,
,,,,,,22.636078101491456,4.452105272544387,17.48389413067116,6.3118784136202315,,,,
,,,,,,22.365009691996683,4.285994337566152,17.230273133760484,6.156459266824532,,,,
,,,,,,22.096881603084537,4.115177906033075,16.979403202674085,5.996637494398563,,,,
,,,,,,21.831775509168324,3.9397080102849458,16.731360754823214,5.832461779602436,,,,
,,,,,,21.569772164132388,3.7596381001518164,16.486221346340322,5.663982131949281,,,,
,,,,,,21.310951376733712,3.5750230266726977,16.24405964906396,5.491249871971879,,,,
,,,,,,21.05539198629139,3.38591902538737,16.00494942779298,5.314317615589905,,,,
,,,,,,20.80317183867141,3.192383699206525,15.768963517817104,5.133239258082645,,,,
,,,,,,20.554367762574053,2.9944760008653297,15.536173802730556,4.948069957671931,,,,
