case1_poly_x,case1_poly_y,case1_mec_x,case1_mec_y,case1_diam_x,case1_diam_y,case2_poly_x,case2_poly_y,case2_mec_x,case2_mec_y,case2_diam_x,case2_diam_y,case3_poly_x,case3_poly_y,case3_mec_x,case3_mec_y,case3_diam_x,case3_diam_y
,,-1.2855752193730787,1.532088886237956,,,,,-1.0921100354901416,1.8361391760727588,,,,,-1.4844543979371185,1.7691038617838366,,
,,-1.3121180579810143,1.5094191604455443,,,,,-1.1204788422236927,1.8119099261719869,,,,,-1.5151034279678155,1.7429271172064287,,
,,-1.3382612127177165,1.4862896509547885,,,,,-1.1484204695336324,1.7871892625580768,,,,,-1.5452909428172175,1.716219460145005,,
,,-1.3639967201249967,1.4627074032383411,,,,,-1.1759264061296049,1.7619847153846404,,,,,-1.5750077470758672,1.6889890260106304,,
,,-1.3893167409179947,1.4386796006773022,,,,,-1.202988273436868,1.7363039622009082,,,,,-1.604244788717316,1.6612441094573283,,
,,-1.414213562373095,1.4142135623730951,,,,,-1.2295978281484843,1.7101548256130756,,,,,-1.632993161855452,1.632993161855453,,
,,-1.4386796006773026,1.3893167409179943,,,,,-1.2557469647363175,1.6835452709014587,,,,,-1.6612441094573283,1.604244788717316,,
,,-1.462707403238341,1.363996720124997,,,,,-1.281427717920049,1.6564834035941962,,,,,-1.6889890260106295,1.575007747075868,,
,,-1.4862896509547883,1.3382612127177167,,,,,-1.3066322650934854,1.6289774669982238,,,,,-1.716219460145004,1.5452909428172183,,
,,-1.509419160445544,1.3121180579810146,,,,,-1.3313529287073955,1.601035839688284,,,,,-1.7429271172064278,1.5151034279678164,,
,,-1.5320888862379558,1.285575219373079,,,,,-1.3555821786081674,1.572667032954733,,,,,-1.7691038617838357,1.4844543979371194,,
,,-1.5542919229139418,1.2586407820996748,,,,,-1.3793126343315683,1.5438796882109154,,,,,-1.7947417201872509,1.4533531887165776,,
,,-1.5760215072134438,1.2313229506513168,,,,,-1.4025370673509017,1.514682574360911,,,,,-1.8198328828766432,1.421809274035805,,
,,-1.5972710200945859,1.2036300463040963,,,,,-1.4252484032788906,1.4850845851284353,,,,,-1.844369706840795,1.3898322624767843,,
,,-1.6180339887498947,1.1755705045849465,,,,,-1.447439724022601,1.4550947363477331,,,,,-1.8683447179254316,1.357431894547007,,
,,-1.6383040885779838,1.1471528727020919,,,,,-1.469104269890763,1.4247221632172589,,,,,-1.891750613109927,1.3246180397124114,,
,,-1.6580751451100832,1.1183858069414938,,,,,-1.4902354416528347,1.393976117517016,,,,,-1.914580262731869,1.2914006933910573,,
,,-1.6773411358908479,1.0892780700300546,,,,,-1.5108268025491967,1.3628659647903674,,,,,-1.9368267126588277,1.2577899739084168,,
,,-1.696096192312852,1.0598385284664098,,,,,-1.530872080251846,1.3314011814912032,,,,,-1.958483186406649,1.223796119415238,,
,,-1.7143346014042244,1.0300761498201088,,,,,-1.5503651687750117,1.2995913520973248,,,,,-1.9795430872036377,1.1894294847689069,,
,,-1.7320508075688774,0.9999999999999999,,,,,-1.5693001303350962,1.2674461661909122,,,,,-2.0000000000000004,1.1547005383792521,,
,,-1.7492394142787915,0.9696192404926743,,,,,-1.5876711971593802,1.234975415506992,,,,,-2.0198476934219274,1.1196198590197728,,
,,-1.765895185717854,0.9389431255717814,,,,,-1.6054727732429455,1.2021889909507717,,,,,-2.0390801216697345,1.084198132605234,,
,,-1.7820130483767356,0.9079809994790937,,,,,-1.6226994360532685,1.169096879584782,,,,,-2.057691426359468,1.0484461489366412,,
,,-1.797588092598334,0.8767422935781546,,,,,-1.6393459381819797,1.1357091615867143,,,,,-2.0756759383074286,1.0123747984145557,,
,,-1.8126155740732999,0.845236523481399,,,,,-1.6554072089432714,1.1020360071789062,,,,,-2.0930281792570558,0.9759950687217791,,
